,id,image,class,chain,name,birthDate,bodyShape,sireId,sireClass,matronId,matronClass,stage,title,breedCount,level,hp,speed,skill,morale,from,to,timestamp,txHash,withPrice
29,4415,https://storage.googleapis.com/assets.axieinfinity.com/axies/4415/axie/axie-full-transparent.png,Aquatic,ronin,AquaMEO Star,1528854940,Normal,0,,0,,4,MEO Corp,6,1,42,52,35,35,0x12ef2cd4231d5cf655a6cdd4ac1524ffaa439c17,0x6f236efa8d1ab2d9fe0d48f7dbe956e937730d00,1539821901,0xb8e91a3501f5943bc591add636a7b9a67a862f3a5f7edd031c47ff7d7edb198f,0.1
30,4415,https://storage.googleapis.com/assets.axieinfinity.com/axies/4415/axie/axie-full-transparent.png,Aquatic,ronin,AquaMEO Star,1528854940,Normal,0,,0,,4,MEO Corp,6,1,42,52,35,35,0x813074b9a3c964c51ac66b841c2577a3ce1062f6,0x12ef2cd4231d5cf655a6cdd4ac1524ffaa439c17,1539407220,0xf3bc413df8f7ac944b3305433773274a84cd101472181f0b673bd683784d8f7b,0.12204053
31,4417,https://storage.googleapis.com/assets.axieinfinity.com/axies/4417/axie/axie-full-transparent.png,Aquatic,ronin,Axie #4417,1528857454,Normal,0,,0,,4,MEO Corp,2,1,45,50,35,34,0x4ce15b37851a4448a28899062906a02e51dee267,0x42d97b2d395c6ab73c43c37e9d9789261dce0b8f,1615851366,0x1d022ea2851aba700311bad0f31a535935f0631bc49fe2691d0fb3a740d08eb0,0.96900004
32,4420,https://storage.googleapis.com/assets.axieinfinity.com/axies/4420/axie/axie-full-transparent.png,Aquatic,ronin,Axie #4420,1528881580,Normal,0,,0,,4,MEO Corp,4,1,47,50,35,32,0x6de61644c328a28cd8f7e73f0520de7a1d8c0e99,0xde99b7aee9ff964936cf862711472be02664cce5,1625290391,0x0f831734429f5b4fbce413dea8800c1db98b6584c152e520dbc0e0beef5f3353,0.5
33,4423,https://storage.googleapis.com/assets.axieinfinity.com/axies/4423/axie/axie-full-transparent.png,Aquatic,ronin,Axie #4423,1528881768,Normal,0,,0,,4,MEO Corp,5,1,47,51,35,31,0x8805c680b191a244fb41a8d475e6fe33031396e4,0x42d97b2d395c6ab73c43c37e9d9789261dce0b8f,1613568455,0x7eb97ced4336ceb9fd9e5aa88e458343d69010325e6302862ee65580d94750c7,0.29000002
34,4423,https://storage.googleapis.com/assets.axieinfinity.com/axies/4423/axie/axie-full-transparent.png,Aquatic,ronin,Axie #4423,1528881768,Normal,0,,0,,4,MEO Corp,5,1,47,51,35,31,0x4be640dcce08e68ede454202fbc59cf5f9e8ea1f,0x8805c680b191a244fb41a8d475e6fe33031396e4,1542756729,0x66a9900016ce8a48517c833a7a33761b0ba645e8b514241ceeb10aad98bf8878,0.0499
35,4425,https://storage.googleapis.com/assets.axieinfinity.com/axies/4425/axie/axie-full-transparent.png,Aquatic,ronin,Olde Baj (9458xp),1528883163,Normal,4219,Aquatic,4247,Plant,4,,2,1,49,46,35,34,0x87fc0cdb581f84456c02f20ec1a844d95803c437,0x2e218a9dbc931a9de514f52ea9c941d1170555ff,1610333262,0x9bec8d48e8417cb0eb3b82fec3d15fc30665cb144d4fbc96bb0d344c9dfc1eda,0.04573241
36,4428,https://storage.googleapis.com/assets.axieinfinity.com/axies/4428/axie/axie-full-transparent.png,Aquatic,ronin,Axie #4428,1528897770,Normal,0,,0,,4,MEO Corp,0,1,44,48,35,37,0x0e2d5d46cc4633c0c885c078465941a8f19c5714,0xcbb5e98c1890f60114748899e8344296c5e7209a,1575407702,0x22b79f2ee22082f5e15f2d12bae24cf8b9495476aba934b947e89984eb965bb5,0.3
37,4429,https://storage.googleapis.com/assets.axieinfinity.com/axies/4429/axie/axie-full-transparent.png,Beast,ronin,Axie #4429,1528908555,Normal,0,,0,,4,MEO Corp,2,1,40,45,31,48,0x3ddb77c918f4cf0cdc109883cbff0375e349fb8e,0xd7c318e9f9129239f6ba4e10994137113dcf6244,1556043010,0xed8f2a189a010532b95b1084e8dcf16704758e35cddbcf2201ee9a00914b878a,0.18530059
38,4429,https://storage.googleapis.com/assets.axieinfinity.com/axies/4429/axie/axie-full-transparent.png,Beast,ronin,Axie #4429,1528908555,Normal,0,,0,,4,MEO Corp,2,1,40,45,31,48,0x3e155e5af080f8d77a71fc5531cdd0a8fcdaf2c7,0xf7ee6c2f811b52c72efd167a1bb3f4adaa1e0f89,1534595264,0xeb45d0e651b865cbbf6083a153c325d2d091cc5c7466d60079243b96158fa47a,0.15
39,4430,https://storage.googleapis.com/assets.axieinfinity.com/axies/4430/axie/axie-full-transparent.png,Bird,ronin,Axie #4430,1528910210,Normal,0,,0,,4,MEO Corp,4,1,34,54,35,41,0x1e3934ea7e416f4e2bc5f7d55ae9783da0061475,0x33f7b0570ed9f14b0a29002a4c37fbbe30f9bfe6,1537291407,0x2f6dcadf5f3ec4f861f565673b7524d73c4e5820f7fcb21b47e04300dc89d92f,0.25
40,4431,https://storage.googleapis.com/assets.axieinfinity.com/axies/4431/axie/axie-full-transparent.png,Aquatic,ronin,Axie #4431,1528911881,Normal,0,,0,,4,MEO Corp,2,1,47,47,35,35,0xe293390d7651234c6dfb1f41a47358b9377c004f,0x560ebafd8db62cbdb44b50539d65b48072b98277,1529252424,0x26617298827f99303e7d56c61bf238bf4fc81a946d65c105e52cf4a35a1dc812,0.085
