txHash,id,image,class,chain,name,birthDate,bodyShape,sireId,sireClass,matronId,matronClass,stage,title,breedCount,level,hp,speed,skill,morale,from,to,timestamp,withPrice
0x3f46dc3141ec09ab9b76aa4d632a5b4134c74162c69d80679841703305181150,5268425,https://storage.googleapis.com/assets.axieinfinity.com/axies/5268425/axie/axie-full-transparent.png,Plant,ronin,UNLI ENERGY ANTI HEAL TANK,1630312276,Normal,36351,Plant,36452,Plant,4,,0,1,57,31,31,45,0xee7a5cd80f201dec76d7f901e53cd51b20ef15f4,0xf9c0afda2147c1fe6afc7a2d994ad610f210b1b5,1631104267,0.099
0x1ec5535d9bb61d39e87323e617f9a79eb605fb1c8dbe4fa84ced5079c6622a07,5268425,https://storage.googleapis.com/assets.axieinfinity.com/axies/5268425/axie/axie-full-transparent.png,Plant,ronin,UNLI ENERGY ANTI HEAL TANK,1630312276,Normal,36351,Plant,36452,Plant,4,,0,1,57,31,31,45,0x34429d70ae7e20e9be0f8da315b4d41269f60501,0xee7a5cd80f201dec76d7f901e53cd51b20ef15f4,1630985556,0.07922531
0x8312dd4e4856401919cdc2e73c5d71b6b6a932b624ba3b91c9ef22fe872e1320,2634411,https://storage.googleapis.com/assets.axieinfinity.com/axies/2634411/axie/axie-full-transparent.png,Reptile,ronin,PVP Best Card! Won't Die.,1627002334,Normal,20245,Reptile,143,Reptile,4,,0,1,53,44,31,36,0xb81031ea2d1368413a154124b5fc5b0d6a255ee6,0x8abb829ec596fdec839c1e2e29f29c366d4a051a,1627463094,0.17983368
0x4d57960819c309bb702fb62697f68cd483b1f3e1498a0d4917af2d0f3e6d1556,5893721,https://storage.googleapis.com/assets.axieinfinity.com/axies/5893721/axie/axie-full-transparent.png,Bird,ronin,Axie #5893721,1631312059,Normal,9867,Bird,13095,Bird,4,,2,1,27,61,35,41,0x09daa1e17394e6d58fe815a9db4913053926969e,0x942976dd2cbc2120884d590ed96631eedad8a07d,1631746964,0.086913235
0xd4714b0c153b821df212d34da39c4ae36ec917276400bb40eb93eb30a0d0a4ab,1219419,https://storage.googleapis.com/assets.axieinfinity.com/axies/1219419/axie/axie-full-transparent.png,Bug,ronin,RARE BUG ANTI - TERMI,1624968024,Normal,22598,Bug,22388,Bug,4,,3,1,47,32,35,50,0x1d9b5d339df72387955957b007d7c8a909ba68d6,0xfe40e5ca4fa4a52a8223a9fb48823d04514ef0a8,1631724188,0.05
0x2ab0ea40bc96f20132acc4961e8e317b3b3e48cc4f3dc9fc5ff421211034e9e5,1219419,https://storage.googleapis.com/assets.axieinfinity.com/axies/1219419/axie/axie-full-transparent.png,Bug,ronin,RARE BUG ANTI - TERMI,1624968024,Normal,22598,Bug,22388,Bug,4,,3,1,47,32,35,50,0x2d71417c322a108b955eed7e769839a1b7869b29,0x1d9b5d339df72387955957b007d7c8a909ba68d6,1631683988,0.044
0xe6f714d8abf785a2eb9c561cb135ef480d488ad823e32b54534c5082ff84c19a,1219419,https://storage.googleapis.com/assets.axieinfinity.com/axies/1219419/axie/axie-full-transparent.png,Bug,ronin,RARE BUG ANTI - TERMI,1624968024,Normal,22598,Bug,22388,Bug,4,,3,1,47,32,35,50,0xc79c65bf306261a4d98e548538dc7c0e4f6a4bcb,0xee815695757532650c15bf3820b7dc2cf07e682e,1625736186,0.1692573
0x5579ad43d353fccbf7f5813bff9917357b33ad836c9099e0681ed722362cca66,6010860,https://storage.googleapis.com/assets.axieinfinity.com/axies/6010860/axie/axie-full-transparent.png,Aquatic,ronin,Axie #6010860,1631476381,Fuzzy,64115,Aquatic,64958,Aquatic,4,,0,1,46,52,35,31,0xc3181527b93079dcc7ce2ec3551745f9e5c9c932,0xe4512355a471f6620ecf9724886bd7135b6094e8,1631738153,0.049406946
0x2b0c0659eba0337e46038271f6c1d1e7cb552acb394e5c147edd9f7f297caae9,4798088,https://storage.googleapis.com/assets.axieinfinity.com/axies/4798088/axie/axie-full-transparent.png,Aquatic,ronin,Raoul,1629637982,Curly,10081,Aquatic,31293,Aquatic,4,,0,1,47,49,35,33,0xc66f875dfaeb6801135ba98dd0825366983ef465,0x135a5535ca71847f050baff1f66c6c9c534faf02,1631203571,0.25
0xce2a74557ab20bc5a1d09651c8e403a2484bc9810b63cea5686a315550cb2651,4798088,https://storage.googleapis.com/assets.axieinfinity.com/axies/4798088/axie/axie-full-transparent.png,Aquatic,ronin,Raoul,1629637982,Curly,10081,Aquatic,31293,Aquatic,4,,0,1,47,49,35,33,0xf85ec7177dc5b9b6bae52cc6ecb522ec0cc327b8,0xc66f875dfaeb6801135ba98dd0825366983ef465,1630854084,0.209
